request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,8922.9,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,,none,"Deterministic fallback: safe=8922.9, earliest_full="
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Safe today (143,500 INR) fully covers request; balance 465,868.50 keeps 187,400 buffer. Pay full 143,500 now, zero fee."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:572.00|2026-05-05:572.00|2026-06-04:572.00,2026-04-05,none,"Use 3 installments of EUR 572.00, starting 5 April 2026"
request_103,10070.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Safe amount 17204.00 ZAR matches requested 17204.00; balance 64021.70 preserves 24700.00 reserve. Full payment today, fee-free."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,"Safe amount of 53500 INR exactly covers full debt payment on 2026-06-08, keeping balance 94331.80 INR above 73900 minimum; avoid 4280 installment fee."
request_106,986.55,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Wait until 15 January 2025, then pay EUR 2,207.70 in full. Paying sooner would put the EUR 1,200 minimum at risk."
request_107,2490.21,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Deterministic fallback: safe=2490.21, earliest_full=2025-05-15"
request_108,1830.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,551.1,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR"
