request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256.00,2024-03-03,none,"Pay ZAR 25,256 today, well ahead of the 20 March 2024 deadline. This leaves at least ZAR 18,000 available over"
request_02,17991313.61,affordable_with_plan,installments,2025-08-08:15339333.33|2025-09-07:15339333.33|2025-10-07:15339333.34,2025-09-15,none,
request_03,454799.71,not_affordable,not_recommended,none,,none,
request_04,10458312.58,affordable_later,wait,2024-06-15:12693000.00,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 12,693,000 in full. Paying sooner would put the IDR 30,686,600 minimum at risk, and 15 June still falls within the 19 June deadline."
request_05,15488.0,affordable_now,full_payment,2025-11-06:15488.00,2025-11-06,none,
request_06,620.4,affordable_now,full_payment,2026-01-03:620.40,2026-01-03,none,
request_07,86219.32,affordable_with_plan,installments,2024-09-12:65800.00|2024-10-12:65800.00|2024-11-11:65800.00,2024-10-23,none,
request_08,383.38,affordable_later,wait,2025-04-15:996.60,2025-04-15,none,
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,
request_10,0.0,not_affordable,not_recommended,none,,none,"Do not make this INR 266,700.00 purchase by 10 February 2025. None of the available options keeps the INR 225,400.00 minimum protected."
request_11,12224666.47,affordable_later,wait,2025-05-15:13110000.00,2025-05-15,none,"Wait until 15 May 2025, then pay IDR"
request_12,62365.18,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,
request_13,549.62,affordable_later,wait,2024-05-15:941.60,2024-05-15,none,
request_14,612.68,not_affordable,not_recommended,none,,none,
request_15,65.61,not_affordable,not_recommended,none,,none,
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500.00,2023-08-12,none,
request_17,240769.43,affordable_with_plan,installments,2026-03-01:91533.33|2026-04-01:91533.33|2026-05-01:91533.34,2026-04-15,none,
request_18,659.88,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,
request_19,39660.0,affordable_with_plan,installments,2024-09-04:19830.00|2024-10-04:19830.00,2024-09-04,none,
request_20,17107.27,not_affordable,not_recommended,none,,none,"Do not make this INR 303,700.00 payment by 22 February 2026. Only INR 17,107.27 is safely available now, full funds are not reached"
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,
request_22,476.72,affordable_with_plan,installments,2024-12-08:243.83|2025-01-07:243.83|2025-02-06:243.84,2025-01-15,none,
request_23,10202.46,affordable_later,wait,2025-07-15:38016.00,2025-07-15,none,
request_24,16032.9,not_affordable,not_recommended,none,,none,
request_25,2687320.04,not_affordable,not_recommended,none,,none,
